"Name","Country","State","Level","Wikipedia","Wikidata","VIAF","ISNI","GRID","Website","ID"
"1 Decembrie 1918 University, Alba Iulia","RO",,"Org","http://en.wikipedia.org/wiki?curid=10039929","http://www.wikidata.org/wiki/Q2053266",,"http://www.isni.org/isni/0000000121707636","http://www.grid.ac/institutes/grid.445667.2","http://www.uab.ro","10039929"
"108 Hospital","VN",,"Org","http://en.wikipedia.org/wiki?curid=12186216","http://www.wikidata.org/wiki/Q4546769",,,"http://www.grid.ac/institutes/grid.461530.5","http://www.benhvien108.vn","12186216"
"23andMe","US","CA","Org","http://en.wikipedia.org/wiki?curid=11979083","http://www.wikidata.org/wiki/Q216272",,"http://www.isni.org/isni/0000000406260858","http://www.grid.ac/institutes/grid.420283.f","http://www.23andme.com","11979083"
"301 Military Hospital","CN",,"Org","http://en.wikipedia.org/wiki?curid=13967334","http://www.wikidata.org/wiki/Q4634345",,"http://www.isni.org/isni/0000000417618894","http://www.grid.ac/institutes/grid.414252.4","http://202.106.73.29/english/index.jsp","13967334"
"37 Military Hospital","GH",,"Org","http://en.wikipedia.org/wiki?curid=42005680","http://www.wikidata.org/wiki/Q16733301",,,"http://www.grid.ac/institutes/grid.460805.f",,"42005680"
"3H Biomedical","SE",,"Org","http://en.wikipedia.org/wiki?curid=23364136","http://www.wikidata.org/wiki/Q4636351",,,"http://www.grid.ac/institutes/grid.431857.c","http://www.3hbiomedical.com","23364136"
"3M","US","MN","Org","http://en.wikipedia.org/wiki?curid=7664801","http://www.wikidata.org/wiki/Q159433",,"http://www.isni.org/isni/0000000106956319","http://www.grid.ac/institutes/grid.417536.2","http://www.3m.com","7664801"
"454 Life Sciences","US","CT","Org","http://en.wikipedia.org/wiki?curid=6375012","http://www.wikidata.org/wiki/Q2474700",,,,"http://my454.com","6375012"
"4Culture","US","WA","Org","http://en.wikipedia.org/wiki?curid=41639609","http://www.wikidata.org/wiki/Q16959357",,,,"http://www.4culture.org","41639609"
"57357 Hospital","EG",,"Org","http://en.wikipedia.org/wiki?curid=28719961","http://www.wikidata.org/wiki/Q4640784",,,"http://www.grid.ac/institutes/grid.428154.e",,"28719961"
"A G Patil Polytechnic Institute","IN",,"Org","http://en.wikipedia.org/wiki?curid=34466775","http://www.wikidata.org/wiki/Q14957062",,,,,"34466775"
"A J Institute of Medical Science","IN",,"Org","http://en.wikipedia.org/wiki?curid=11994843","http://www.wikidata.org/wiki/Q4657475",,,,"http://www.ajhospital.in/index.php]","11994843"
"A N Magadh Medical College and Hospital","IN",,"Org","http://en.wikipedia.org/wiki?curid=33184646","http://www.wikidata.org/wiki/Q4658427",,,"http://www.grid.ac/institutes/grid.460849.7","http://anmmc.bih.nic.in/index.htm","33184646"
"A S College","IN",,"Org","http://en.wikipedia.org/wiki?curid=35279565","http://www.wikidata.org/wiki/Q4659317",,,,"http://www.asckhn.com","35279565"
